order,run_id,scale,instance,varied_parameter,parameter_value,baseline_run,status,initial_objective,optimized_objective,improvement_percent,relative_gap_to_baseline_percent,total_seconds,result_directory
1,S_N100,small,small_15c_1v_seed3.json,N_alns,100,S_N100,completed,36.62919869276415,34.791425815691554,5.02,0.0,58.099907899988466,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\S_N100
2,M_BASE,medium,medium_30c_2v_seed3.json,baseline,baseline,M_BASE,completed,85.90042791417227,55.2951975223492,35.63,0.0,1025.5316661999968,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_BASE
3,L_N400,large,large_150c_9v_seed3.json,N_alns,400,L_N400,completed,476.6573465097121,325.8916351949672,31.63,0.0,68630.2050397,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\L_N400
4,L_N100,large,large_150c_9v_seed3.json,N_alns,100,L_N400,completed,476.6573465097121,413.4343354278582,13.26,26.86251832776189,14841.439239899977,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\L_N100
5,L_N050,large,large_150c_9v_seed3.json,N_alns,50,L_N400,completed,476.6573465097121,415.414360488215,12.85,27.470089939464117,7055.803796399996,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\L_N050
6,M_RHO010,medium,medium_30c_2v_seed3.json,rho,0.10,M_BASE,completed,85.90042791417227,55.2951975223492,35.63,0.0,976.5498179000278,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_RHO010
7,M_RHO030,medium,medium_30c_2v_seed3.json,rho,0.30,M_BASE,completed,85.90042791417227,80.5887766751926,6.18,45.74281363697138,572.6743243000237,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_RHO030
8,M_WCAP070,medium,medium_30c_2v_seed3.json,w_cap,0.70,M_BASE,completed,85.90042791417227,80.5887766751926,6.18,45.74281363697138,587.2506103999913,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_WCAP070
9,M_WCAP100,medium,medium_30c_2v_seed3.json,w_cap,1.00,M_BASE,completed,85.90042791417227,53.18590361028582,38.08,-3.8146059813075897,809.0113152999838,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_WCAP100
10,M_OMEGA045,medium,medium_30c_2v_seed3.json,omega_g,0.45,M_BASE,completed,85.90042791417227,55.2951975223492,35.63,0.0,973.0992841999978,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_OMEGA045
11,M_OMEGA065,medium,medium_30c_2v_seed3.json,omega_g,0.65,M_BASE,completed,85.90042791417227,55.2951975223492,35.63,0.0,991.3691531999793,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_OMEGA065
12,M_SA095,medium,medium_30c_2v_seed3.json,alpha_sa,0.95,M_BASE,completed,85.90042791417227,80.48823889344801,6.3,45.56099354002,566.7700945999823,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_SA095
13,M_SA0995,medium,medium_30c_2v_seed3.json,alpha_sa,0.995,M_BASE,completed,85.90042791417227,55.2951975223492,35.63,0.0,1007.5784990000247,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_SA0995
14,M_LAMBDA040,medium,medium_30c_2v_seed3.json,lambda_persistence,0.40,M_BASE,completed,85.90042791417227,80.61354098624656,6.15,45.78759928231417,501.8418646999926,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_LAMBDA040
15,M_LAMBDA080,medium,medium_30c_2v_seed3.json,lambda_persistence,0.80,M_BASE,completed,85.90042791417227,80.53345929145287,6.25,45.64277351374481,513.5603892000217,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_LAMBDA080
16,M_N150,medium,medium_30c_2v_seed3.json,N_alns,150,M_BASE,completed,85.90042791417227,80.5887766751926,6.18,45.74281363697138,401.0959947000083,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_N150
17,M_N250,medium,medium_30c_2v_seed3.json,N_alns,250,M_BASE,completed,85.90042791417227,55.2951975223492,35.63,0.0,1450.4095589999924,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\M_N250
18,S_N075,small,small_15c_1v_seed3.json,N_alns,75,S_N100,completed,36.62919869276415,34.791425815691554,5.02,0.0,42.43355379998684,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\S_N075
19,S_N125,small,small_15c_1v_seed3.json,N_alns,125,S_N100,completed,36.62919869276415,34.791425815691554,5.02,0.0,66.06279719999293,D:\MV-DAPDPUCP\codex_drone_e\Parameter_Tuning_Logs\S_N125
