Pair_ID,Vehicle_Type,Start_Node,End_Node,Start_Lon,Start_Lat,End_Lon,End_Lat
1,Drone,47,20,112.984178,28.126197,112.977052,28.105691
1,Drone,20,34,112.977052,28.105691,112.991904,28.116285
1,Drone,14,36,112.995854,28.103269,112.970871,28.118101
1,Drone,36,32,112.970871,28.118101,113.008645,28.115301
1,Drone,32,29,113.008645,28.115301,113.016887,28.101377
2,Drone,22,23,112.964861,28.105842,112.951898,28.09782
2,Drone,23,40,112.951898,28.09782,112.977052,28.120068
2,Drone,40,41,112.977052,28.120068,112.971128,28.125667
2,Drone,41,45,112.971128,28.125667,112.974047,28.133914
2,Drone,45,42,112.974047,28.133914,112.968639,28.12945
2,Drone,42,35,112.968639,28.12945,112.982976,28.115755
2,Drone,35,43,112.982976,28.115755,112.961771,28.134367
2,Drone,43,39,112.961771,28.134367,112.964003,28.123473
2,Drone,12,11,112.998687,28.093431,112.999116,28.08889
2,Drone,11,31,112.999116,28.08889,113.011307,28.110761
2,Drone,31,7,113.011307,28.110761,113.006156,28.096382
2,Drone,10,46,113.008474,28.078293,112.981602,28.135654
2,Drone,46,6,112.981602,28.135654,113.018862,28.078142
