Node_ID,Node_Type,Lon,Lat,Service_Status
0,Depot,113.014397,28.097518,Depot
1,Cus,113.032512,28.096761,Success
2,Cus,113.029078,28.09275,Success
3,Cus,113.021866,28.090328,Failed
4,Cus,113.028906,28.089722,Success
5,Cus,113.017231,28.084273,Success
6,Cus,113.018862,28.078142,Success
7,Cus,113.006156,28.096382,Success
8,Cus,113.008989,28.100393,Success
9,Cus,113.008044,28.088587,Failed
10,Cus,113.008474,28.078293,Failed
11,Cus,112.999116,28.08889,Success
12,Cus,112.998687,28.093431,Success
13,Cus,112.992248,28.099334,Failed
14,Cus,112.995854,28.103269,Success
15,Cus,112.999717,28.107053,Success
16,Cus,112.986667,28.095626,Success
17,Cus,112.97379,28.094642,Success
18,Cus,112.973361,28.099788,Success
19,Cus,112.980915,28.100923,Success
20,Cus,112.977052,28.105691,Failed
21,Cus,112.963402,28.110458,Success
22,Cus,112.964861,28.105842,Success
23,Cus,112.951898,28.09782,Success
24,Cus,112.956104,28.105993,Success
25,Cus,112.963144,28.089647,Success
26,Cus,112.961427,28.098426,Success
27,Cus,112.96778,28.099637,Failed
28,Cus,113.023927,28.104404,Success
29,Cus,113.016887,28.101377,Failed
30,Cus,113.023841,28.114544,Success
31,Cus,113.011307,28.110761,Success
32,Cus,113.008645,28.115301,Success
33,Cus,113.002464,28.115906,Success
34,Cus,112.991904,28.116285,Success
35,Cus,112.982976,28.115755,Success
36,Cus,112.970871,28.118101,Failed
37,Cus,112.96881,28.114166,Failed
38,Cus,112.965033,28.117647,Success
39,Cus,112.964003,28.123473,Success
40,Cus,112.977052,28.120068,Success
41,Cus,112.971128,28.125667,Failed
42,Cus,112.968639,28.12945,Success
43,Cus,112.961771,28.134367,Success
44,Cus,112.980658,28.130736,Success
45,Cus,112.974047,28.133914,Success
46,Cus,112.981602,28.135654,Success
47,Cus,112.984178,28.126197,Failed
48,Cus,112.995167,28.13119,Failed
49,Cus,112.996197,28.125591,Success
50,Cus,113.002035,28.119614,Failed
