Node_ID,Node_Type,Lon,Lat
0,Depot,113.014397,28.097518
1,Delivery,113.032512,28.096761
2,Delivery,113.029078,28.09275
3,Delivery,113.021866,28.090328
4,Delivery,113.028906,28.089722
5,Delivery,113.017231,28.084273
6,Delivery,113.018862,28.078142
7,Delivery,113.006156,28.096382
8,Delivery,113.008989,28.100393
9,Delivery,113.008044,28.088587
10,Delivery,113.008474,28.078293
11,Delivery,112.999116,28.08889
12,Delivery,112.998687,28.093431
13,Delivery,112.992248,28.099334
14,Delivery,112.995854,28.103269
15,Delivery,112.999717,28.107053
16,Delivery,112.986667,28.095626
17,Delivery,112.97379,28.094642
18,Delivery,112.973361,28.099788
19,Delivery,112.980915,28.100923
20,Delivery,112.977052,28.105691
21,Delivery,112.963402,28.110458
22,Delivery,112.964861,28.105842
23,Delivery,112.951898,28.09782
24,Delivery,112.956104,28.105993
25,Delivery,112.963144,28.089647
26,Delivery,112.961427,28.098426
27,Delivery,112.96778,28.099637
28,Delivery,113.023927,28.104404
29,Delivery,113.016887,28.101377
30,Delivery,113.023841,28.114544
31,Delivery,113.011307,28.110761
32,Delivery,113.008645,28.115301
33,Delivery,113.002464,28.115906
34,Delivery,112.991904,28.116285
35,Delivery,112.982976,28.115755
36,Delivery,112.970871,28.118101
37,Delivery,112.96881,28.114166
38,Delivery,112.965033,28.117647
39,Delivery,112.964003,28.123473
40,Delivery,112.977052,28.120068
41,Delivery,112.971128,28.125667
42,Delivery,112.968639,28.12945
43,Delivery,112.961771,28.134367
44,Delivery,112.980658,28.130736
45,Delivery,112.974047,28.133914
46,Delivery,112.981602,28.135654
47,Delivery,112.984178,28.126197
48,Delivery,112.995167,28.13119
49,Delivery,112.996197,28.125591
50,Delivery,113.002035,28.119614
