scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
alpha,large_150c_9v_seed1,large,150,9,30,OK,6483.2,425.85884805491366,425.8588480549137,425.8588480549137,0.0,0.0,0.0,0.0
alpha,large_150c_9v_seed2,large,150,9,30,OK,2065.3,469.3237331115949,469.32373311159483,469.32373311159483,0.0,0.0,0.0,0.0
alpha,large_150c_9v_seed3,large,150,9,30,OK,1828.1,429.08965211188837,429.08965211188837,429.08965211188837,0.0,0.0,0.0,0.0
alpha,large_180c_11v_seed1,large,180,11,30,OK,2594.0,583.5584722098707,583.5584722098708,583.5584722098708,0.0,0.0,0.0,0.0
alpha,large_180c_11v_seed2,large,180,11,30,OK,2719.1,585.6361569263323,585.6361569263323,585.6361569263323,0.0,0.0,0.0,0.0
alpha,large_180c_11v_seed3,large,180,11,30,OK,2071.7,567.9539765122212,567.953976512221,567.953976512221,0.0,0.0,0.0,0.0
alpha,large_200c_13v_seed1,large,200,13,30,OK,2579.6,666.7522140805806,666.7522140805805,666.7522140805805,0.0,0.0,0.0,0.0
alpha,large_200c_13v_seed2,large,200,13,30,OK,2950.7,666.3281033930233,666.328103393023,666.328103393023,0.0,0.0,0.0,0.0
alpha,large_200c_13v_seed3,large,200,13,30,OK,2420.3,687.5663604069509,687.566360406951,687.566360406951,0.0,0.0,0.0,0.0
alpha,large_250c_15v_seed1,large,250,15,30,OK,5858.4,849.8223182805075,849.8223182805074,849.8223182805074,0.0,0.0,0.0,0.0
alpha,large_250c_15v_seed2,large,250,15,30,OK,3598.3,885.2899622454429,885.2899622454429,885.2899622454429,0.0,0.0,0.0,0.0
alpha,large_250c_15v_seed3,large,250,15,30,OK,5497.6,876.1985958141959,876.1985958141958,876.1985958141958,0.0,0.0,0.0,0.0
alpha,large_280c_18v_seed1,large,280,18,30,OK,3731.8,1089.2582572807971,1089.2582572807964,1089.2582572807964,0.0,0.0,0.0,0.0
