scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
alpha,small_10c_1v_seed1,small,10,1,30,OK,16.1,32.32782488523465,32.32782488523465,32.32782488523465,0.0,0.0,0.0,0.0
alpha,small_10c_1v_seed2,small,10,1,30,OK,11.3,37.428743257531224,37.42874325753122,37.42874325753122,0.0,0.0,0.0,0.0
alpha,small_10c_1v_seed3,small,10,1,30,OK,16.7,31.521643499443556,31.521643499443556,31.521643499443556,0.0,0.0,0.0,0.0
alpha,small_12c_1v_seed1,small,12,1,30,OK,49.2,31.144814697733203,31.144814697733203,31.144814697733203,0.0,0.0,0.0,0.0
alpha,small_12c_1v_seed2,small,12,1,30,OK,31.1,33.42418311177281,33.42418311177281,33.42418311177281,0.0,0.0,0.0,0.0
alpha,small_12c_1v_seed3,small,12,1,30,OK,31.1,29.4751062044142,29.4751062044142,29.4751062044142,0.0,0.0,0.0,0.0
alpha,small_15c_1v_seed1,small,15,1,30,OK,192.3,34.705251228000144,34.70525122800014,34.70525122800014,0.0,0.0,0.0,0.0
alpha,small_15c_1v_seed2,small,15,1,30,OK,89.0,38.3533678409804,38.35336784098039,38.35336784098039,0.0,0.0,0.0,0.0
alpha,small_15c_1v_seed3,small,15,1,30,OK,72.4,35.0683003673326,35.068300367332604,35.0683003673326,0.0,7.105427357601002e-15,0.0,0.0
alpha,small_16c_1v_seed1,small,16,1,30,OK,74.0,33.00732969304999,33.00732969304999,33.00732969304999,0.0,0.0,0.0,0.0
alpha,small_16c_1v_seed2,small,16,1,30,OK,176.8,36.34618171472322,36.346181714723215,36.346181714723215,0.0,0.0,0.0,0.0
alpha,small_16c_1v_seed3,small,16,1,30,OK,139.7,31.04766511139642,31.04766511139642,31.04766511139642,0.0,0.0,0.0,0.0
alpha,small_18c_2v_seed1,small,18,2,30,OK,33.2,63.891139306814,63.891139306814,63.891139306814,0.0,0.0,0.0,0.0
alpha,small_18c_2v_seed2,small,18,2,30,OK,91.6,37.26774036795725,37.26774036795725,37.26774036795725,0.0,0.0,0.0,0.0
alpha,small_18c_2v_seed3,small,18,2,30,OK,91.5,36.39249360044447,36.39249360044447,36.39249360044447,0.0,0.0,0.0,0.0
alpha,small_20c_2v_seed1,small,20,2,30,OK,249.4,37.742539252570694,37.742539252570694,37.742539252570694,0.0,0.0,0.0,0.0
alpha,small_20c_2v_seed2,small,20,2,30,OK,56.8,67.27956349403722,67.27956349403722,67.27956349403722,0.0,0.0,0.0,0.0
alpha,small_20c_2v_seed3,small,20,2,30,OK,82.2,39.3811185230968,39.3811185230968,39.3811185230968,0.0,0.0,0.0,0.0
alpha,small_8c_1v_seed1,small,8,1,30,OK,7.6,29.294488590261764,29.294488590261764,29.294488590261764,0.0,0.0,0.0,0.0
alpha,small_8c_1v_seed2,small,8,1,30,OK,7.6,30.964641983614257,30.96464198361426,30.96464198361426,0.0,0.0,0.0,0.0
alpha,small_8c_1v_seed3,small,8,1,30,OK,8.1,27.998028104824677,27.998028104824677,27.998028104824677,0.0,0.0,0.0,0.0
beta,small_10c_1v_seed1,small,10,1,30,OK,21.8,48.1451182673794,47.00308184663359,47.359256754878096,3.0,0.5327524723509384,0.07937669667492932,0.13547189987730235
