experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,1162.238391588447,0.0,5560.5167216998525,0.0,0.0,0.0,22.0,0.0,1.5454545454545454,0.0,139.0,0.0,34.0,0.0,0.2446043165467626,0.0,272294.0,0.0,70.0,0.0,0.0002570750732663959,0.0,198.0,0.0,340.92819955304816,0.0,15.326113352232817,0.0,607.9840786831661,0.0,0.0,0.0,0.0,0.0,0.17036091858004337,0.0,0.29333758204897786,0.0,0.013186720954284093,0.0,0.5231147784166947,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1410.7290830702168,0.0,6.185189422901504,0.0,1162.2384+/-0.0000,5560.5167+/-0.0000,0.0000+/-0.0000,22.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,1124.0031569282678,0.0,5205.94758570008,0.0,0.0,0.0,22.0,0.0,1.7272727272727273,0.0,139.0,0.0,38.0,0.0,0.2733812949640288,0.0,272294.0,0.0,65.0,0.0,0.0002387125680330819,0.0,198.0,0.0,276.2682364326103,0.0,19.064454471474644,0.0,630.6704660241829,0.0,0.0,0.0,0.0,0.0,0.17615608886820597,0.0,0.2457895555984113,0.0,0.016961210788388657,0.0,0.5610931447449942,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1349.7387633288138,0.0,0.4414546006815273,0.0,1124.0032+/-0.0000,5205.9476+/-0.0000,0.0000+/-0.0000,22.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,1150.2030115665225,0.0,5262.5910155000165,0.0,0.0,0.0,26.0,0.0,1.3846153846153846,0.0,139.0,0.0,36.0,0.0,0.2589928057553957,0.0,272294.0,0.0,64.0,0.0,0.0002350400669864191,0.0,198.0,0.0,325.57765748386265,0.0,21.011763469902657,0.0,605.6135906127573,0.0,0.0,0.0,0.0,0.0,0.17214352423780677,0.0,0.28306103723414977,0.0,0.018267873808890157,0.0,0.5265275647191534,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1380.8026569525125,0.0,4.007532947003871,0.0,1150.2030+/-0.0000,5262.5910+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,1157.6860220908889,0.0,5151.692926499993,0.0,0.0,0.0,27.0,0.0,1.3333333333333333,0.0,139.0,0.0,36.0,0.0,0.2589928057553957,0.0,272294.0,0.0,62.0,0.0,0.00022769506489309348,0.0,198.0,0.0,335.391296680335,0.0,22.617035565824462,0.0,601.6776898447292,0.0,0.0,0.0,0.0,0.0,0.1710308289309683,0.0,0.28970834084580815,0.0,0.01953641586254621,0.0,0.5197244143606772,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1394.0164865008865,0.0,4.141482505448968,0.0,1157.6860+/-0.0000,5151.6929+/-0.0000,0.0000+/-0.0000,27.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,1166.5615529061677,0.0,4768.362061199965,0.0,0.0,0.0,22.0,0.0,1.4090909090909092,0.0,139.0,0.0,31.0,0.0,0.22302158273381295,0.0,272294.0,0.0,58.0,0.0,0.0002130050607064423,0.0,198.0,0.0,296.0797629473774,0.0,20.298443080943535,0.0,652.1833468778467,0.0,0.0,0.0,0.0,0.0,0.16972957792646037,0.0,0.2538055212001253,0.0,0.01740023321562033,0.0,0.5590646676577941,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1374.1234476873578,0.0,7.3924164807065935,0.0,1166.5616+/-0.0000,4768.3621+/-0.0000,0.0000+/-0.0000,22.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,1181.499672538568,0.0,3572.7247874999885,0.0,0.0,0.0,21.0,0.0,1.1428571428571428,0.0,139.0,0.0,24.0,0.0,0.17266187050359713,0.0,272294.0,0.0,57.0,0.0,0.0002093325596597795,0.0,198.0,0.0,293.3233679399618,0.0,17.39438310071957,0.0,672.7819214978865,0.0,0.0,0.0,0.0,0.0,0.16758362664170492,0.0,0.24826360494009095,0.0,0.014722291935423081,0.0,0.5694304764827811,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1374.7139702687602,0.0,7.314714290687649,0.0,1181.4997+/-0.0000,3572.7248+/-0.0000,0.0000+/-0.0000,21.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed1.json,large,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,1155.1867577423209,0.0,4542.224181500031,0.0,0.0,0.0,32.0,0.0,1.0,0.0,139.0,0.0,32.0,0.0,0.2302158273381295,0.0,272294.0,0.0,54.0,0.0,0.00019831505651979111,0.0,176.0,0.0,328.0107196087023,0.0,27.831289410497178,0.0,623.3447487231213,0.0,0.0,0.0,0.0,0.0,0.15235631712397021,0.0,0.28394605236798365,0.0,0.0240924588374699,0.0,0.5396051716705761,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1383.920321877243,0.0,1.8657721836075334,0.0,1155.1868+/-0.0000,4542.2242+/-0.0000,0.0000+/-0.0000,32.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,1228.8024139148465,0.0,2305.710776499938,0.0,0.0,0.0,25.0,0.0,1.48,0.0,139.0,0.0,37.0,0.0,0.26618705035971224,0.0,313104.0,0.0,70.0,0.0,0.00022356788798610046,0.0,176.0,0.0,330.48552977325596,0.0,18.720291914151694,0.0,703.5965922274387,0.0,0.0,0.0,0.0,0.0,0.14322888530083605,0.0,0.268949284303862,0.0,0.015234582632785236,0.0,0.5725872477625166,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1869.7175621359058,0.0,2.8882429215615635,0.0,1228.8024+/-0.0000,2305.7108+/-0.0000,0.0000+/-0.0000,25.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,1235.0685990133925,0.0,2073.695584699977,0.0,0.0,0.0,26.0,0.0,1.3846153846153846,0.0,139.0,0.0,36.0,0.0,0.2589928057553957,0.0,313104.0,0.0,69.0,0.0,0.00022037406101487047,0.0,198.0,0.0,355.45184764551846,0.0,19.86380899860325,0.0,661.7529423692706,0.0,0.0,0.0,0.0,0.0,0.16031498182219836,0.0,0.28779927522201065,0.0,0.016083162517831817,0.0,0.535802580437959,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1907.011320044734,0.0,9.525112529588307,0.0,1235.0686+/-0.0000,2073.6956+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,1218.602739626851,0.0,1549.2854830001015,0.0,0.0,0.0,29.0,0.0,1.4137931034482758,0.0,139.0,0.0,41.0,0.0,0.2949640287769784,0.0,313104.0,0.0,64.0,0.0,0.00020440492615872042,0.0,176.0,0.0,311.2308814718564,0.0,24.104231208702675,0.0,707.2676269462918,0.0,0.0,0.0,0.0,0.0,0.14442770746920613,0.0,0.2553997880943207,0.0,0.019780220760117154,0.0,0.580392283676356,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1839.3286401412672,0.0,4.449154136253017,0.0,1218.6027+/-0.0000,1549.2855+/-0.0000,0.0000+/-0.0000,29.0000+/-0.0000
