instance,size,n_customers,n_vehicles,seed,A_offline_obj,B_offline_obj,offline_overhead_pct,A_avg_cost,B_avg_cost,delta_avg_cost_pct,A_worst_cost,B_worst_cost,delta_worst_cost_pct,A_avg_fail,B_avg_fail,delta_fail_pct,A_cost_std,B_cost_std,delta_std_pct,paired_cost_delta,A_win_count,B_win_count,A_win_rate,trial_count
small_8c_1v_seed1,Small,8,1,1,34.88136637457785,29.294488590261764,19.071429655110308,35.22435105511034,35.21304489637012,-0.0321078701756463,49.03341202284662,48.9571685789518,-0.15573499470636676,1.22,1.22,0.0,5.017861935638791,4.997598079605482,-0.4054718217794434,0.011306158740213306,0.0,18.0,0.0,100
small_8c_1v_seed2,Small,8,1,2,40.151494925243526,30.964641983614257,29.668849219993337,39.927427390541745,44.18202216460658,9.629696798878332,58.98421668862818,73.71506490501963,19.983497586784804,1.28,1.9,32.63156177286222,6.403799521357146,8.767752830656153,26.96190329880756,-4.254594774064829,59.0,41.0,59.0,100
small_8c_1v_seed3,Small,8,1,3,35.8986118133547,27.998028104824677,28.218357660583166,35.34363127564069,36.86545068077356,4.128036893704783,45.04851637193396,48.452049735088764,7.024539481329689,1.81,2.22,18.468460149342278,4.380336969053148,5.143925953570347,14.844475658566658,-1.5218194051328757,60.0,40.0,60.0,100
small_10c_1v_seed1,Small,10,1,1,49.45011902332346,32.32238596805396,52.990311644065535,49.4123419868678,47.563301043066005,-3.8875370364382182,72.06513415364275,64.26154639411436,-12.143479572790215,2.76,2.69,-2.602229515899802,7.529702895925957,6.883727295069701,-9.384094972471825,1.8490409438018036,35.0,65.0,35.0,100
small_10c_1v_seed2,Small,10,1,2,66.19335367478175,37.41700536646466,76.90713895053761,65.22838362449309,69.59927696307739,6.280084405047867,90.20954954505774,98.85387542193403,8.744549305710136,2.95,3.58,17.597760447552943,12.038980252202487,13.330846855373684,9.69080599513739,-4.370893338584293,58.0,42.0,57.99999999999999,100
small_10c_1v_seed3,Small,10,1,3,41.924182632571814,31.58889476034856,32.718105367828365,42.39825728663791,50.420498380442865,15.910673935179961,64.66552067690401,71.89258045849326,10.052580858134236,1.91,3.21,40.49842975126799,7.5611486769965035,8.399931952129666,9.985594884069913,-8.022241093804952,83.0,17.0,83.0,100
small_12c_1v_seed1,Small,12,1,1,45.79584659863427,31.144814697733203,47.041640937961354,44.72251108362814,50.368618535866325,11.209573771052945,63.8760698117312,72.38271869127551,11.752320213097555,1.92,3.08,37.66232543430992,7.328995873408295,8.366189555567134,12.397442722227463,-5.64610745223819,72.0,28.0,72.0,100
small_12c_1v_seed2,Small,12,1,2,56.39840299423171,33.42418311177281,68.73532198417982,58.150228048528724,63.37488225907376,8.244045628655963,86.02248947851956,95.07300179437141,9.519539874660467,2.75,3.47,20.74927355928716,11.04111144743253,13.287163934917965,16.90392569435884,-5.22465421054503,59.0,41.0,59.0,100
small_12c_1v_seed3,Small,12,1,3,40.1147411414358,29.4751062044142,36.09701984866201,39.65132024716962,46.58999215978121,14.893052329382863,54.44333771097099,64.07310187711292,15.029339744798135,1.86,3.71,49.865215669753184,5.146001867186804,6.981994535605347,26.29610201060319,-6.938671912611591,86.0,14.0,86.0,100
small_15c_1v_seed1,Small,15,1,1,55.14532372381286,34.88356689601922,58.083959384628855,55.72111038749021,64.29902773859659,13.340664163662531,80.80829705933803,93.19656857519448,13.29262622567603,3.16,5.15,38.640769195967145,9.628567775634366,11.076044140915872,13.06853075141779,-8.57791735110639,72.0,28.0,72.0,100
small_15c_1v_seed2,Small,15,1,2,72.72547788013372,38.39490623944161,89.4143911345866,72.76154586698377,95.56653135529268,23.862941518224233,108.37434274148056,132.44230218192382,18.172410962309698,3.48,6.95,49.928050370064696,14.833942056702213,15.594963142432482,4.879915585439528,-22.804985488308915,88.0,12.0,88.0,100
small_15c_1v_seed3,Small,15,1,3,53.16821347528138,35.0683003673326,51.613317207723895,52.321283688055956,52.92087449523442,1.1329948964325205,71.73707052655935,74.39280408168244,3.569879624657147,2.28,3.21,28.971953591291722,8.130115331502068,9.251839703165935,12.124337282201775,-0.5995908071784648,57.0,43.0,56.99999999999999,100
small_16c_1v_seed1,Small,16,1,1,51.375795897815884,33.00708341388238,55.65081971528527,52.6110810479288,61.06227650115582,13.840288861596987,81.33923817725652,84.28609246672258,3.4962521137511775,2.35,3.74,37.165765463699074,8.418326622386072,10.265509552829117,17.994067815107083,-8.451195453227015,70.0,30.0,70.0,100
small_16c_1v_seed2,Small,16,1,2,68.57954635784758,36.34618171472322,88.68432149522646,68.3825121857967,79.00654393179656,13.447027571755568,108.56319118704539,123.71317352740365,12.246054246601634,3.1,4.3,27.90697025419296,15.682800032594503,18.416331142106824,14.842972468238754,-10.624031745999861,69.0,31.0,69.0,100
small_16c_1v_seed3,Small,16,1,3,47.83367295477817,31.04766511139642,54.06528247182184,49.134842356722295,61.84154310638133,20.547192245511496,66.68767152227335,88.27435355771846,24.454081129385546,3.37,5.9,42.88134866417819,7.989652311405805,10.631669183691171,24.85044049182585,-12.70670074965904,89.0,11.0,89.0,100
small_18c_2v_seed1,Small,18,2,1,67.46011736823058,37.026389985578774,82.19469247340963,65.89407900841283,71.40862207014192,7.722517116087696,94.83672038556234,108.07625091726953,12.250175611515074,2.96,4.51,34.36806333302365,10.41482011772775,14.450216254269717,27.92619699437113,-5.514543061729075,70.0,30.0,70.0,100
small_18c_2v_seed2,Small,18,2,2,60.388998040027985,37.25433312924963,62.09925924728083,59.7392048920203,72.18434916531537,17.240779223198942,94.47268158743145,112.69767655039533,16.171580036802403,3.32,5.08,34.64566247132629,12.077246652850366,15.665492793811975,22.905413568125134,-12.445144273295073,78.0,22.0,78.0,100
small_18c_2v_seed3,Small,18,2,3,59.29823699587355,36.38571862782632,62.97118548738698,58.06091779047546,65.836261524162,11.810123408712961,80.28139086056585,102.86589351851002,21.955287496608623,2.93,4.63,36.7170547047398,8.766894399348388,11.717971299070744,25.184194196775678,-7.775343733686542,77.0,23.0,77.0,100
small_20c_2v_seed1,Small,20,2,1,68.70136651138051,37.74134950467819,82.03208791690055,66.37228645764199,82.95911033912745,19.993975120611108,101.37962767297017,123.33199803167568,17.799411919903722,4.35,6.78,35.84070267836245,11.71008306146147,14.140380433786326,17.186929388750606,-16.586823881485465,82.0,18.0,82.0,100
small_20c_2v_seed2,Small,20,2,2,83.62876178588684,39.78824296262498,110.18460620249901,81.62390399164109,96.19078091697824,15.143734967605418,117.74261064201406,136.44156807401905,13.70473653737318,3.95,6.91,42.836462686474285,12.799851191906018,16.91014141522494,24.30665645735926,-14.566876925337153,75.0,25.0,75.0,100
small_20c_2v_seed3,Small,20,2,3,70.58954297636171,38.18798759678539,84.84750681731089,71.17467385032705,78.72894887315567,9.595295162646853,103.33173709690158,108.08123638799144,4.394379126123287,5.19,6.86,24.344019774924227,11.161508112537419,11.714441559794395,4.720100375537465,-7.5542750228286115,72.0,28.0,72.0,100
medium_30c_2v_seed1,Medium,30,2,1,154.95776007954095,81.33238701587355,90.524052920392,151.48771924205514,194.78903441419448,22.22985256965981,210.04444229499484,264.2625142965371,20.51674719960566,5.28,11.03,52.13054831092037,22.30751478797309,30.977232724484633,27.987385877064074,-43.30131517213933,93.0,7.0,93.0,100
medium_30c_2v_seed2,Medium,30,2,2,174.87066931561372,83.90894013585934,108.40528915330796,173.47813147370118,205.1429881552498,15.435505237734489,239.3025127142629,269.4557359812102,11.190418031795007,6.28,9.66,34.9896444110099,28.216371686827216,32.578390299853645,13.38930020478336,-31.664856681548617,83.0,17.0,83.0,100
