scenario,size,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_obj,offline_objective,avg_actual_cost,mean_actual_cost,worst_actual_cost,avg_fail,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
alpha,Small,small_10c_1v_seed1,small,10,1,30,OK,16.1,32.32782488523465,32.32782488523465,32.32782488523465,32.32782488523465,32.32782488523465,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_10c_1v_seed2,small,10,1,30,OK,11.3,37.42874325753122,37.42874325753122,37.42874325753122,37.42874325753122,37.42874325753122,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_10c_1v_seed3,small,10,1,30,OK,16.7,31.52164349944356,31.52164349944356,31.52164349944356,31.52164349944356,31.52164349944356,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_12c_1v_seed1,small,12,1,30,OK,49.2,31.144814697733203,31.144814697733203,31.144814697733203,31.144814697733203,31.144814697733203,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_12c_1v_seed2,small,12,1,30,OK,31.1,33.42418311177281,33.42418311177281,33.42418311177281,33.42418311177281,33.42418311177281,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_12c_1v_seed3,small,12,1,30,OK,31.1,29.4751062044142,29.4751062044142,29.4751062044142,29.4751062044142,29.4751062044142,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_15c_1v_seed1,small,15,1,30,OK,192.3,34.705251228000144,34.705251228000144,34.70525122800014,34.70525122800014,34.70525122800014,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_15c_1v_seed2,small,15,1,30,OK,89.0,38.3533678409804,38.3533678409804,38.35336784098039,38.35336784098039,38.35336784098039,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_15c_1v_seed3,small,15,1,30,OK,72.4,35.0683003673326,35.0683003673326,35.068300367332604,35.068300367332604,35.0683003673326,0.0,0.0,7.105427357601002e-15,0.0,0.0
alpha,Small,small_16c_1v_seed1,small,16,1,30,OK,74.0,33.00732969304999,33.00732969304999,33.00732969304999,33.00732969304999,33.00732969304999,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_16c_1v_seed2,small,16,1,30,OK,176.8,36.34618171472322,36.34618171472322,36.346181714723215,36.346181714723215,36.346181714723215,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_16c_1v_seed3,small,16,1,30,OK,139.7,31.04766511139642,31.04766511139642,31.04766511139642,31.04766511139642,31.04766511139642,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_18c_2v_seed1,small,18,2,30,OK,33.2,63.891139306814,63.891139306814,63.891139306814,63.891139306814,63.891139306814,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_18c_2v_seed2,small,18,2,30,OK,91.6,37.26774036795725,37.26774036795725,37.26774036795725,37.26774036795725,37.26774036795725,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_18c_2v_seed3,small,18,2,30,OK,91.5,36.39249360044447,36.39249360044447,36.39249360044447,36.39249360044447,36.39249360044447,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_20c_2v_seed1,small,20,2,30,OK,249.4,37.74253925257069,37.74253925257069,37.74253925257069,37.74253925257069,37.74253925257069,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_20c_2v_seed2,small,20,2,30,OK,56.8,67.27956349403722,67.27956349403722,67.27956349403722,67.27956349403722,67.27956349403722,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_20c_2v_seed3,small,20,2,30,OK,82.2,39.3811185230968,39.3811185230968,39.3811185230968,39.3811185230968,39.3811185230968,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_8c_1v_seed1,small,8,1,30,OK,7.6,29.294488590261764,29.294488590261764,29.294488590261764,29.294488590261764,29.294488590261764,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_8c_1v_seed2,small,8,1,30,OK,7.6,30.964641983614257,30.964641983614257,30.96464198361426,30.96464198361426,30.96464198361426,0.0,0.0,0.0,0.0,0.0
alpha,Small,small_8c_1v_seed3,small,8,1,30,OK,8.1,27.99802810482468,27.99802810482468,27.99802810482468,27.99802810482468,27.99802810482468,0.0,0.0,0.0,0.0,0.0
beta,Small,small_10c_1v_seed1,small,10,1,30,OK,21.8,48.1451182673794,48.1451182673794,47.00308184663359,47.00308184663359,47.359256754878096,3.0,3.0,0.5327524723509384,0.0793766966749293,0.1354718998773023
beta,Small,small_10c_1v_seed2,small,10,1,30,OK,15.9,71.5252992204696,71.5252992204696,71.18429010488873,71.18429010488873,71.18429010488873,3.0,3.0,0.0,0.0473814466580127,0.0692603000206872
beta,Small,small_10c_1v_seed3,small,10,1,30,OK,27.5,51.06021652362803,51.06021652362803,50.33777589891362,50.33777589891362,50.33847785968227,3.0,3.0,0.0011640702435802,0.078670536672386,0.101697799982503
beta,Small,small_12c_1v_seed1,small,12,1,30,OK,66.4,53.872949770544935,53.872949770544935,53.872949770544935,53.872949770544935,53.872949770544935,4.0,4.0,0.0,0.1078144200107393,0.1504570000106468
beta,Small,small_12c_1v_seed2,small,12,1,30,OK,40.0,67.35054260933235,67.35054260933235,67.35054260933235,67.35054260933235,67.35054260933235,4.0,4.0,0.0,0.2696903333378335,0.3543893001042306
beta,Small,small_12c_1v_seed3,small,12,1,30,OK,43.4,47.0262852573394,47.0262852573394,47.0262852573394,47.0262852573394,47.0262852573394,4.0,4.0,0.0,0.1654087533010169,0.2196395000210032
beta,Small,small_15c_1v_seed1,small,15,1,30,OK,115.0,57.481942813458254,57.481942813458254,56.983936727594106,56.983936727594106,56.98722518543078,4.0,4.0,0.0073532152639545,0.4840145433632036,0.5688980001723394
beta,Small,small_15c_1v_seed2,small,15,1,30,OK,83.0,64.00599343565304,64.00599343565304,63.63460668996068,63.63460668996068,63.63460668996068,4.0,4.0,0.0,0.5231780800153502,0.627630699891597
beta,Small,small_15c_1v_seed3,small,15,1,30,OK,84.9,57.53191119653977,57.53191119653977,57.47808244158314,57.47808244158314,57.53191119653977,4.0,4.0,0.1821506144601005,0.2525405866598399,0.3630052999360487
beta,Small,small_16c_1v_seed1,small,16,1,30,OK,140.3,71.34455853601129,71.34455853601129,71.34455853601129,71.34455853601129,71.34455853601129,5.0,5.0,0.0,1.1409596600104124,1.3324786998564375
beta,Small,small_16c_1v_seed2,small,16,1,30,OK,163.7,85.87311943474447,85.87311943474447,85.10095945429923,85.10095945429923,85.4141641549686,4.0,4.0,0.185560624056782,0.4159744000101151,0.5915063001448289
beta,Small,small_16c_1v_seed3,small,16,1,30,OK,113.8,56.99874527979267,56.99874527979267,62.02226652719766,62.02226652719766,62.02226652719766,5.0,5.0,0.0,0.2784108733021033,0.4055990998167544
beta,Small,small_18c_2v_seed1,small,18,2,30,OK,54.8,103.98481226150058,103.98481226150058,103.59703606490184,103.59703606490184,103.6538080770913,5.0,5.0,0.0531053546926907,0.2385969033425984,0.3307879001367837
beta,Small,small_18c_2v_seed2,small,18,2,30,OK,105.0,63.12962165796998,63.12962165796998,62.90598413628712,62.90598413628712,63.13245112837022,5.0,5.0,0.2264693311499982,0.7561707066643673,0.8886657999828458
beta,Small,small_18c_2v_seed3,small,18,2,30,OK,241.2,77.59951874334052,77.59951874334052,77.59616687175655,77.59616687175655,77.59951874334052,5.0,5.0,0.0100556147519114,2.053251370038682,2.3361016002018005
beta,Small,small_20c_2v_seed1,small,20,2,30,OK,173.6,72.70701786436537,72.70701786436537,71.97934131953069,71.97934131953069,71.98135946451013,6.0,6.0,0.0030827673772447,0.4250952700308213,0.5840017001610249
beta,Small,small_20c_2v_seed2,small,20,2,30,OK,86.1,85.24762549142801,85.24762549142801,84.38858495556231,84.38858495556231,84.49522623659712,6.0,6.0,0.2114668371215489,0.4511538200002784,0.7990214999299496
beta,Small,small_20c_2v_seed3,small,20,2,30,OK,107.4,78.68481336854387,78.68481336854387,77.99757410288144,77.99757410288144,78.00583176604755,6.0,6.0,0.0238096509400111,0.5852123366474795,0.7259379000170156
beta,Small,small_8c_1v_seed1,small,8,1,30,OK,9.1,40.59408559895961,40.59408559895961,40.59408559895961,40.59408559895961,40.59408559895961,2.0,2.0,0.0,0.0535816033176767,0.1192530998960137
beta,Small,small_8c_1v_seed2,small,8,1,30,OK,8.7,45.4910105254764,45.4910105254764,45.491010525476405,45.491010525476405,45.491010525476405,2.0,2.0,0.0,0.0209805866703391,0.0347061998909339
beta,Small,small_8c_1v_seed3,small,8,1,30,OK,10.9,34.97176083719559,34.97176083719559,34.97176083719559,34.97176083719559,34.97176083719559,2.0,2.0,0.0,0.048169160009517,0.0703366000670939
gamma,Small,small_10c_1v_seed1,small,10,1,30,OK,23.2,45.07846714513142,45.07846714513142,46.08850226505721,46.08850226505721,62.54238738875091,1.9333333333333331,1.9333333333333331,9.655254590297153,0.0722154599886077,0.2601473000831902
gamma,Small,small_10c_1v_seed2,small,10,1,30,OK,15.6,54.21428803851696,54.21428803851696,53.58765739079029,53.58765739079029,78.69776411035,1.7666666666666666,1.7666666666666666,12.28167642798485,0.0358229033571357,0.1219921001465991
gamma,Small,small_10c_1v_seed3,small,10,1,30,OK,26.6,44.59316082464805,44.59316082464805,45.873452305581615,45.873452305581615,64.03370950761317,2.4,2.4,9.557467635901434,0.0459632633331542,0.1050171998795121
gamma,Small,small_12c_1v_seed1,small,12,1,30,OK,48.1,44.26971536198381,44.26971536198381,41.97278208404328,41.97278208404328,67.5799055809762,1.7666666666666666,1.7666666666666666,9.564439190520376,0.0841463133265885,0.2850939998170361
gamma,Small,small_12c_1v_seed2,small,12,1,30,OK,38.1,53.12181801654572,53.12181801654572,53.81606745690989,53.81606745690989,92.4560165871087,2.3666666666666667,2.3666666666666667,13.33115070960894,0.0983298866815554,0.283392000128515
gamma,Small,small_12c_1v_seed3,small,12,1,30,OK,33.7,39.66839839131727,39.66839839131727,37.36997484906831,37.36997484906831,47.61148992356811,1.7333333333333334,1.7333333333333334,5.101199000946418,0.1775734500144608,0.5735951000824571
gamma,Small,small_15c_1v_seed1,small,15,1,30,OK,109.4,53.089524843586666,53.089524843586666,55.77081120738642,55.77081120738642,76.76441583664865,3.466666666666667,3.466666666666667,10.882939902915783,0.1870050399952257,0.4908411998767406
gamma,Small,small_15c_1v_seed2,small,15,1,30,OK,87.4,62.73874679648884,62.73874679648884,63.131564357028445,63.131564357028445,100.47883801948528,3.033333333333333,3.033333333333333,10.805083071069305,0.1848985033342614,0.4479877001140266
gamma,Small,small_15c_1v_seed3,small,15,1,30,OK,88.9,52.83338881334434,52.83338881334434,51.801919536754895,51.801919536754895,70.5229557473719,2.6333333333333333,2.6333333333333333,10.60655413322961,0.1246841833499881,0.3355720000108704
gamma,Small,small_16c_1v_seed1,small,16,1,30,OK,97.4,56.32964527336202,56.32964527336202,56.520724934571696,56.520724934571696,79.14697299176896,3.1333333333333333,3.1333333333333333,10.07008282583759,0.2601745666625599,0.6599461999721825
gamma,Small,small_16c_1v_seed2,small,16,1,30,OK,190.9,65.81689302536297,65.81689302536297,66.59620965786713,66.59620965786713,98.8590951546029,2.933333333333333,2.933333333333333,13.856326262571304,0.2007513533152329,0.4716140999225899
gamma,Small,small_16c_1v_seed3,small,16,1,30,OK,148.0,46.9338880622097,46.9338880622097,48.82966681186697,48.82966681186697,60.91716693159789,3.4,3.4,8.192978059832512,0.2623388433363288,0.4887202001409605
gamma,Small,small_18c_2v_seed1,small,18,2,30,OK,41.6,91.91546285755372,91.91546285755372,91.75053410311224,91.75053410311224,119.36400975120964,3.6,3.6,12.44121763715484,0.1295598600176163,0.2858028999762609
