experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.1,deterministic,large_150c_9v_seed1.json,large,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,1157.6860220908889,4932.774388300022,0.0,27.0,1.3333333333333333,139.0,36.0,0.2589928057553957,272294.0,62.0,0.00022769506489309348,198.0,335.391296680335,22.617035565824462,601.6776898447292,0.0,0.0,0.1710308289309683,0.28970834084580815,0.01953641586254621,0.5197244143606772,0.0,0.0,73.33333333333333,1394.0164865008865,4.141482505448968
5.1,deterministic,large_150c_9v_seed1.json,large,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,1781.61591848229,5245.757170099998,0.0,28.0,1.2857142857142858,139.0,36.0,0.2589928057553957,272294.0,62.0,0.00022769506489309348,176.0,316.39736871854944,21.766000311789252,1267.4525494519512,0.0,0.0,0.09878672399263787,0.1775901109977058,0.012216999234229515,0.7114061657754267,0.0,0.0,73.33333333333333,2226.360143125008,6.313156018498363
5.1,deterministic,large_150c_9v_seed1.json,large,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,2374.620067394524,5422.767516199965,0.0,24.0,1.4166666666666667,139.0,34.0,0.2446043165467626,272294.0,63.0,0.0002313675659397563,198.0,443.0870606531528,19.892992577492684,1713.6400141638787,0.0,0.0,0.08338175976810015,0.1865928224633071,0.008377337010934821,0.721648080757658,0.0,0.0,73.33333333333333,3243.1292676528005,7.582308082224554
5.1,deterministic,large_150c_9v_seed1.json,large,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,3492.9691599332264,6151.549932199996,0.0,19.0,1.1578947368421053,139.0,22.0,0.15827338129496402,272294.0,63.0,0.0002313675659397563,198.0,427.10762021630825,14.841632546949668,2853.0199071699685,0.0,0.0,0.056685298648266644,0.12227637882278729,0.004249001885614527,0.8167893206433315,0.0,0.0,73.33333333333333,4929.79023507388,5.302921761821803
5.1,deterministic,large_150c_9v_seed1.json,large,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,6460.772092841524,6230.912443100009,0.0,28.0,1.3214285714285714,139.0,37.0,0.26618705035971224,272294.0,63.0,0.0002313675659397563,198.0,394.2693329026848,22.10388399520802,5846.398875943631,0.0,0.0,0.030646491960207384,0.061025110812921515,0.0034212449653964606,0.9049071522614746,0.0,0.0,73.33333333333333,9202.728006010288,10.25934913197568
5.1,deterministic,large_150c_9v_seed2.json,large,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,1222.971971239856,1768.2517715001013,0.0,22.0,1.0909090909090908,139.0,24.0,0.17266187050359713,313104.0,53.0,0.00016927282947519034,198.0,344.8981830657149,15.766535937868014,664.3072522362733,0.0,0.0,0.1619006850985035,0.2820164248867087,0.012891984696823271,0.5431909053179647,0.0,0.0,60.0,1883.0631376496058,3.6458151550015376
5.1,deterministic,large_150c_9v_seed2.json,large,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,1933.1216352208128,1784.6534265000373,0.0,21.0,1.4761904761904763,139.0,31.0,0.22302158273381295,313104.0,54.0,0.00017246665644642036,198.0,413.65340942920636,19.19027398031659,1302.2779518112898,0.0,0.0,0.10242500854188787,0.21398209087963385,0.009927090789672199,0.6736658097888061,0.0,0.0,60.0,3291.184737633687,4.3118032518219644
5.1,deterministic,large_150c_9v_seed2.json,large,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,2448.3682134599367,2009.3536789999343,0.0,20.0,1.1,139.0,22.0,0.15827338129496402,313104.0,54.0,0.00017246665644642036,198.0,433.96318965694167,15.387469275042369,1801.0175545279526,0.0,0.0,0.08087018893297682,0.17724588453289963,0.006284785593298243,0.7355991409408253,0.0,0.0,60.0,4652.00110033255,11.926877734879593
5.1,deterministic,large_150c_9v_seed2.json,large,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,3787.2676825855006,1853.0279415000696,0.0,23.0,1.2173913043478262,139.0,28.0,0.2014388489208633,313104.0,55.0,0.00017566048341765037,198.0,473.9654193939946,19.041898703510412,3096.2603644879955,0.0,0.0,0.052280434496467625,0.12514706092029565,0.005027872413420444,0.8175446321698162,0.0,0.0,60.0,7351.885814239181,13.543754108262176
5.1,deterministic,large_150c_9v_seed2.json,large,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,6902.343077010135,2342.4068628000095,0.0,27.0,1.4444444444444444,139.0,39.0,0.2805755395683453,313104.0,54.0,0.00017246665644642036,198.0,491.48746583380876,22.078497616002014,6190.777113560324,0.0,0.0,0.02868591111610856,0.07120588767469738,0.0031986960615648916,0.8969095051476292,0.0,0.0,60.0,14091.60980261363,14.927005293820077
