experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,30,2043,1,1190.7763907829817,0.0,761.8627645999659,0.0,0.0,0.0,15.0,0.0,1.0666666666666667,0.0,26.0,0.0,16.0,0.0,0.6153846153846154,0.0,7184.0,0.0,23.0,0.0,0.0032015590200445434,0.0,198.0,0.0,388.32957404174226,0.0,9.820061715813736,0.0,594.6267550254256,0.0,0.0,0.0,0.0,0.0,0.16627806994880653,0.0,0.32611460644294477,0.0,0.00824677226708926,0.0,0.49936055134115936,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1459.249442231081,0.0,5.2377920115268495,0.0,1190.7764+/-0.0000,761.8628+/-0.0000,0.0000+/-0.0000,15.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,52,2060,1,1185.4333240448627,0.0,875.5915643000044,0.0,0.0,0.0,16.0,0.0,1.25,0.0,48.0,0.0,20.0,0.0,0.4166666666666667,0.0,19932.0,0.0,38.0,0.0,0.00190648203893237,0.0,198.0,0.0,350.22934521083243,0.0,12.706198203526734,0.0,624.4977806305037,0.0,0.0,0.0,0.0,0.0,0.16702752991994232,0.0,0.2954441537173946,0.0,0.010718610609132722,0.0,0.5268097057535305,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1426.03339255869,0.0,2.1855965806958455,0.0,1185.4333+/-0.0000,875.5916+/-0.0000,0.0000+/-0.0000,16.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,75,2077,1,1192.0302745155996,0.0,1045.1958651000168,0.0,0.0,0.0,20.0,0.0,1.2,0.0,68.0,0.0,24.0,0.0,0.35294117647058826,0.0,42761.0,0.0,47.0,0.0,0.0010991323869881434,0.0,198.0,0.0,338.66196382068273,0.0,14.91783550405824,0.0,640.4504751908585,0.0,0.0,0.0,0.0,0.0,0.16610316384830112,0.0,0.28410517002875907,0.0,0.012514644823194898,0.0,0.5372770212997449,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1410.999732679163,0.0,2.855170732154399,0.0,1192.0303+/-0.0000,1045.1959+/-0.0000,0.0000+/-0.0000,20.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,112,2094,1,1103.761570551776,0.0,2188.70231819991,0.0,0.0,0.0,26.0,0.0,1.2692307692307692,0.0,106.0,0.0,33.0,0.0,0.3113207547169811,0.0,126833.0,0.0,57.0,0.0,0.00044940985390237557,0.0,176.0,0.0,310.90235574468244,0.0,21.127937059908607,0.0,595.7312777471849,0.0,0.0,0.0,0.0,0.0,0.15945472708568456,0.0,0.2816752857134361,0.0,0.019141758169154813,0.0,0.5397282290317245,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1347.2840480869036,0.0,4.4418760643714,0.0,1103.7616+/-0.0000,2188.7023+/-0.0000,0.0000+/-0.0000,26.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,150,2111,1,1157.6860220908889,0.0,5142.016679600114,0.0,0.0,0.0,27.0,0.0,1.3333333333333333,0.0,139.0,0.0,36.0,0.0,0.2589928057553957,0.0,272294.0,0.0,62.0,0.0,0.00022769506489309348,0.0,198.0,0.0,335.391296680335,0.0,22.617035565824462,0.0,601.6776898447292,0.0,0.0,0.0,0.0,0.0,0.1710308289309683,0.0,0.28970834084580815,0.0,0.01953641586254621,0.0,0.5197244143606772,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,1394.0164865008865,0.0,4.141482505448968,0.0,1157.6860+/-0.0000,5142.0167+/-0.0000,0.0000+/-0.0000,27.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,30,2043,1,1245.6292001126599,0.0,659.1604206999764,0.0,0.0,0.0,14.0,0.0,1.0,0.0,28.0,0.0,14.0,0.0,0.5,0.0,5681.0,0.0,28.0,0.0,0.004928709734201725,0.0,198.0,0.0,410.3119238607854,0.0,11.011984064550223,0.0,626.3052921873243,0.0,0.0,0.0,0.0,0.0,0.15895581123346503,0.0,0.3294013369497721,0.0,0.00884049929429581,0.0,0.5028023525224671,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1948.5977706700544,0.0,6.60130481552716,0.0,1245.6292+/-0.0000,659.1604+/-0.0000,0.0000+/-0.0000,14.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,52,2060,1,1247.2750624772784,0.0,733.1038601000328,0.0,0.0,0.0,18.0,0.0,1.1666666666666667,0.0,49.0,0.0,21.0,0.0,0.42857142857142855,0.0,19603.0,0.0,32.0,0.0,0.001632403203591287,0.0,198.0,0.0,386.3553303595987,0.0,14.236542100533057,0.0,648.6831900171468,0.0,0.0,0.0,0.0,0.0,0.1587460584730539,0.0,0.3097595245688935,0.0,0.011414115882552093,0.0,0.5200803010755006,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1936.0655604272804,0.0,1.836579564371059,0.0,1247.2751+/-0.0000,733.1039+/-0.0000,0.0000+/-0.0000,18.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,75,2077,1,1249.2795780922152,0.0,775.0278040000703,0.0,0.0,0.0,21.0,0.0,1.1428571428571428,0.0,69.0,0.0,24.0,0.0,0.34782608695652173,0.0,54890.0,0.0,42.0,0.0,0.0007651666970304244,0.0,198.0,0.0,364.20261181288356,0.0,16.678825629491094,0.0,670.3981406498403,0.0,0.0,0.0,0.0,0.0,0.1584913445094231,0.0,0.29153010919225963,0.0,0.013350755044728628,0.0,0.5366277912535885,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1902.2353362711456,0.0,7.101650561347338,0.0,1249.2796+/-0.0000,775.0278+/-0.0000,0.0000+/-0.0000,21.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,112,2094,1,1194.516884666804,0.0,1019.8531887000427,0.0,0.0,0.0,15.0,0.0,1.1333333333333333,0.0,105.0,0.0,17.0,0.0,0.1619047619047619,0.0,128083.0,0.0,51.0,0.0,0.00039817930560652075,0.0,198.0,0.0,381.0169831114629,0.0,12.3515995155351,0.0,603.148302039806,0.0,0.0,0.0,0.0,0.0,0.16575738906799103,0.0,0.3189716177329239,0.0,0.01034024690155839,0.0,0.5049307462975268,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1913.8405654789676,0.0,3.8626401159844233,0.0,1194.5169+/-0.0000,1019.8532+/-0.0000,0.0000+/-0.0000,15.0000+/-0.0000
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,150,2111,1,1222.971971239856,0.0,1727.6889623000752,0.0,0.0,0.0,22.0,0.0,1.0909090909090908,0.0,139.0,0.0,24.0,0.0,0.17266187050359713,0.0,313104.0,0.0,53.0,0.0,0.00016927282947519034,0.0,198.0,0.0,344.8981830657149,0.0,15.766535937868014,0.0,664.3072522362733,0.0,0.0,0.0,0.0,0.0,0.1619006850985035,0.0,0.2820164248867087,0.0,0.012891984696823271,0.0,0.5431909053179647,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1883.0631376496058,0.0,3.6458151550015376,0.0,1222.9720+/-0.0000,1727.6890+/-0.0000,0.0000+/-0.0000,22.0000+/-0.0000
