experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,30,2043,1,2026,1190.7763907829817,761.8627645999659,0.0,15.0,1.0666666666666667,26.0,16.0,0.6153846153846154,7184.0,23.0,0.0032015590200445434,198.0,388.32957404174226,9.820061715813736,594.6267550254256,0.0,0.0,0.16627806994880653,0.32611460644294477,0.00824677226708926,0.49936055134115936,0.0,0.0,73.33333333333333,1459.249442231081,5.2377920115268495
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,52,2060,1,2026,1185.4333240448627,875.5915643000044,0.0,16.0,1.25,48.0,20.0,0.4166666666666667,19932.0,38.0,0.00190648203893237,198.0,350.22934521083243,12.706198203526734,624.4977806305037,0.0,0.0,0.16702752991994232,0.2954441537173946,0.010718610609132722,0.5268097057535305,0.0,0.0,73.33333333333333,1426.03339255869,2.1855965806958455
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,75,2077,1,2026,1192.0302745155996,1045.1958651000168,0.0,20.0,1.2,68.0,24.0,0.35294117647058826,42761.0,47.0,0.0010991323869881434,198.0,338.66196382068273,14.91783550405824,640.4504751908585,0.0,0.0,0.16610316384830112,0.28410517002875907,0.012514644823194898,0.5372770212997449,0.0,0.0,73.33333333333333,1410.999732679163,2.855170732154399
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,112,2094,1,2026,1103.761570551776,2188.70231819991,0.0,26.0,1.2692307692307692,106.0,33.0,0.3113207547169811,126833.0,57.0,0.00044940985390237557,176.0,310.90235574468244,21.127937059908607,595.7312777471849,0.0,0.0,0.15945472708568456,0.2816752857134361,0.019141758169154813,0.5397282290317245,0.0,0.0,73.33333333333333,1347.2840480869036,4.4418760643714
5.3,deterministic,large_150c_9v_seed1.json,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,150,2111,1,2026,1157.6860220908889,5142.016679600114,0.0,27.0,1.3333333333333333,139.0,36.0,0.2589928057553957,272294.0,62.0,0.00022769506489309348,198.0,335.391296680335,22.617035565824462,601.6776898447292,0.0,0.0,0.1710308289309683,0.28970834084580815,0.01953641586254621,0.5197244143606772,0.0,0.0,73.33333333333333,1394.0164865008865,4.141482505448968
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,30,2043,1,2026,1245.6292001126599,659.1604206999764,0.0,14.0,1.0,28.0,14.0,0.5,5681.0,28.0,0.004928709734201725,198.0,410.3119238607854,11.011984064550223,626.3052921873243,0.0,0.0,0.15895581123346503,0.3294013369497721,0.00884049929429581,0.5028023525224671,0.0,0.0,60.0,1948.5977706700544,6.60130481552716
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,52,2060,1,2026,1247.2750624772784,733.1038601000328,0.0,18.0,1.1666666666666667,49.0,21.0,0.42857142857142855,19603.0,32.0,0.001632403203591287,198.0,386.3553303595987,14.236542100533057,648.6831900171468,0.0,0.0,0.1587460584730539,0.3097595245688935,0.011414115882552093,0.5200803010755006,0.0,0.0,60.0,1936.0655604272804,1.836579564371059
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,75,2077,1,2026,1249.2795780922152,775.0278040000703,0.0,21.0,1.1428571428571428,69.0,24.0,0.34782608695652173,54890.0,42.0,0.0007651666970304244,198.0,364.20261181288356,16.678825629491094,670.3981406498403,0.0,0.0,0.1584913445094231,0.29153010919225963,0.013350755044728628,0.5366277912535885,0.0,0.0,60.0,1902.2353362711456,7.101650561347338
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,112,2094,1,2026,1194.516884666804,1019.8531887000427,0.0,15.0,1.1333333333333333,105.0,17.0,0.1619047619047619,128083.0,51.0,0.00039817930560652075,198.0,381.0169831114629,12.3515995155351,603.148302039806,0.0,0.0,0.16575738906799103,0.3189716177329239,0.01034024690155839,0.5049307462975268,0.0,0.0,60.0,1913.8405654789676,3.8626401159844233
5.3,deterministic,large_150c_9v_seed2.json,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,150,2111,1,2026,1222.971971239856,1727.6889623000752,0.0,22.0,1.0909090909090908,139.0,24.0,0.17266187050359713,313104.0,53.0,0.00016927282947519034,198.0,344.8981830657149,15.766535937868014,664.3072522362733,0.0,0.0,0.1619006850985035,0.2820164248867087,0.012891984696823271,0.5431909053179647,0.0,0.0,60.0,1883.0631376496058,3.6458151550015376
